Entry	Reviewed	Protein names	Gene Names	EC number	Pathway	Rhea ID
Q8L8U2	unreviewed	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)		1.1.1.205	PATHWAY: Purine metabolism; XMP biosynthesis via de novo pathway; XMP from IMP: step 1/1. {ECO:0000256|HAMAP-Rule:MF_03156, ECO:0000256|RuleBase:RU003928}.	RHEA:11708
Q8LEZ6	unreviewed	Adenylosuccinate synthetase, chloroplastic (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	PURA	6.3.4.4	PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 1/2. {ECO:0000256|HAMAP-Rule:MF_03125, ECO:0000256|RuleBase:RU000520}.	RHEA:15753
F4I1L8	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	At1g36280 F15C21.8 F15C21_8	4.3.2.2	PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 2/2. {ECO:0000256|ARBA:ARBA00004734, ECO:0000256|RuleBase:RU361172}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 2/2. {ECO:0000256|ARBA:ARBA00004706, ECO:0000256|RuleBase:RU361172}.	RHEA:23920 RHEA:16853
F4I1L9	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	At1g36280 F15C21.8 F15C21_8	4.3.2.2	PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 2/2. {ECO:0000256|ARBA:ARBA00004734, ECO:0000256|RuleBase:RU361172}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 2/2. {ECO:0000256|ARBA:ARBA00004706, ECO:0000256|RuleBase:RU361172}.	RHEA:23920 RHEA:16853
F4IR04	unreviewed	phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase)	At2g37690 F13M22.19 F13M22_19	4.1.1.21	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate from 5-amino-1-(5-phospho-D-ribosyl)imidazole (carboxylase route): step 1/1. {ECO:0000256|ARBA:ARBA00004747}.	RHEA:10792
F4JRJ2	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	At4g18440 F28J12.100 F28J12_100	4.3.2.2	PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 2/2. {ECO:0000256|ARBA:ARBA00004734, ECO:0000256|RuleBase:RU361172}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 2/2. {ECO:0000256|ARBA:ARBA00004706, ECO:0000256|RuleBase:RU361172}.	RHEA:23920 RHEA:16853
O64767	unreviewed	AICARFT/IMPCHase bienzyme family protein	At2g35040 F19I3.27 F19I3_27		PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide (10-formyl THF route): step 1/1. {ECO:0000256|ARBA:ARBA00004954}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; IMP from 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide: step 1/1. {ECO:0000256|ARBA:ARBA00004844}.	RHEA:22192 RHEA:18445
Q84TI2	unreviewed	phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase)	At2g37690	4.1.1.21	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate from 5-amino-1-(5-phospho-D-ribosyl)imidazole (carboxylase route): step 1/1. {ECO:0000256|ARBA:ARBA00004747}.	RHEA:10792
Q8GUN7	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	At1g36280	4.3.2.2	PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 2/2. {ECO:0000256|ARBA:ARBA00004734, ECO:0000256|RuleBase:RU361172}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 2/2. {ECO:0000256|ARBA:ARBA00004706, ECO:0000256|RuleBase:RU361172}.	RHEA:23920 RHEA:16853
Q8RWT5	unreviewed	Putative phosphoribosylaminoimidazolecarboxamide formyltransferase	At2g35040		PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide (10-formyl THF route): step 1/1. {ECO:0000256|ARBA:ARBA00004954}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; IMP from 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide: step 1/1. {ECO:0000256|ARBA:ARBA00004844}.	RHEA:22192 RHEA:18445
Q8RY94	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	At4g18440	4.3.2.2	PATHWAY: Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 2/2. {ECO:0000256|ARBA:ARBA00004734, ECO:0000256|RuleBase:RU361172}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 2/2. {ECO:0000256|ARBA:ARBA00004706, ECO:0000256|RuleBase:RU361172}.	RHEA:23920 RHEA:16853
Q9SJ42	unreviewed	phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21)	At2g05140 F5G3.4 F5G3_4	4.1.1.21	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate from 5-amino-1-(5-phospho-D-ribosyl)imidazole (carboxylase route): step 1/1. {ECO:0000256|ARBA:ARBA00004747}.	
F4IIY9	unreviewed	AICARFT/IMPCHase bienzyme family protein	At2g35040 F19I3.27 F19I3_27		PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide (10-formyl THF route): step 1/1. {ECO:0000256|ARBA:ARBA00004954}.; PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; IMP from 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide: step 1/1. {ECO:0000256|ARBA:ARBA00004844}.	RHEA:22192 RHEA:18445
